,MktDate,Instrument,MachineTime,ExchangeTime,Bid,Bid1,Bid2,Bid3,Bid4,Ask,Ask1,Ask2,Ask3,Ask4,BidSize,BidSize1,BidSize2,BidSize3,BidSize4,AskSize,AskSize1,AskSize2,AskSize3,AskSize4,LastPrice,AccVolume,AccTurnOver,Volume,TurnOver,Pred,DATA_SOURCE,AS_OF_DATE
1,20210125,OI0001,664664400052264923,664664400000000000,9770.0,9769.0,9768.0,9767.0,9766.0,9772.0,9773.0,9775.0,9776.0,9777.0,112,1,5,11,8,6,4,204,13,2,9770.0,375,36637500.0,3.0,33003060.0,-0.12838000000010652,EsunnyL2,20210125
2,20210125,OI0001,664664400302438390,664664400250000000,9772.0,9770.0,9769.0,9768.0,9767.0,9775.0,9776.0,9777.0,9778.0,9779.0,2,46,2,5,14,199,13,2,3,1,9770.0,590,57646480.0,215.0,21008980.0,-0.16427499999917927,EsunnyL2,20210125
4,20210125,OI0001,664664400848606679,664664400750000000,9771.0,9768.0,9767.0,9766.0,9765.0,9772.0,9773.0,9774.0,9775.0,9776.0,2,6,11,8,113,5,14,10,230,15,9771.0,771,75331920.0,80.0,7816200.0,-0.26278000000093016,EsunnyL2,20210125
5,20210125,OI0001,664664401052950623,664664401000000000,9769.0,9768.0,9767.0,9766.0,9765.0,9771.0,9772.0,9773.0,9774.0,9775.0,5,9,11,8,113,2,10,22,10,229,9770.0,820,80119760.0,49.0,4787840.0,-0.3811649999988731,EsunnyL2,20210125
6,20210125,OI0001,664664401302961499,664664401250000000,9769.0,9768.0,9767.0,9766.0,9765.0,9770.0,9771.0,9772.0,9773.0,9774.0,5,9,11,8,113,40,34,46,19,10,9770.0,832,81292150.0,12.0,1172390.0,-0.5343000000011671,EsunnyL2,20210125
7,20210125,OI0001,664664401553312025,664664401500000000,9768.0,9767.0,9766.0,9765.0,9764.0,9770.0,9771.0,9772.0,9773.0,9774.0,3,11,8,113,3,36,33,47,19,10,9768.0,865,84515960.0,0.0,84515960.0,-0.6514879999995173,EsunnyL2,20210125
9,20210125,OI0001,664664401803221105,664664401750000000,9767.0,9766.0,9765.0,9764.0,9763.0,9769.0,9770.0,9771.0,9772.0,9773.0,12,8,113,4,1,2,31,33,49,19,9768.0,885,86469750.0,20.0,1953790.0,-0.8652830000009999,EsunnyL2,20210125
10,20210125,OI0001,664664402053520192,664664402000000000,9767.0,0.0,0.0,0.0,0.0,9768.0,0.0,0.0,0.0,0.0,10,0,0,0,0,4,0,0,0,0,9768.0,898,0.0,13.0,-86469750.0,-0.5065539999995963,EFH_SF,20210125
12,20210125,OI0001,664664402306889921,664664402250000000,9766.0,9765.0,9764.0,9763.0,9762.0,9767.0,9768.0,9769.0,9770.0,9771.0,8,105,3,1,3,24,33,8,31,9,9768.0,943,92135040.0,0.0,3940.0,-0.3518320000002859,EsunnyL2,20210125
13,20210125,OI0001,664664402554250468,664664402500000000,9767.0,9766.0,9765.0,9764.0,9763.0,9768.0,9769.0,9770.0,9771.0,9772.0,1,14,91,3,1,24,12,38,9,63,9767.0,1031,100729480.0,88.0,8594440.0,-0.5147440000000643,EsunnyL2,20210125
15,20210125,OI0001,664664402803980611,664664402750000000,9766.0,9765.0,9764.0,9763.0,9762.0,9767.0,9768.0,9769.0,9770.0,9771.0,15,92,3,1,3,2,16,30,52,9,9768.0,1051,102682960.0,0.0,260.0,-0.6552789999986999,EsunnyL2,20210125
16,20210125,OI0001,664664403053992643,664664403000000000,9767.0,9766.0,9765.0,9764.0,9763.0,9768.0,9769.0,9770.0,9771.0,9772.0,3,13,92,3,1,11,30,55,11,51,9767.0,1084,105906120.0,33.0,3223160.0,-0.4451790000002802,EsunnyL2,20210125
17,20210125,OI0001,664664403304182441,664664403250000000,9766.0,9765.0,9764.0,9763.0,9762.0,9768.0,9769.0,9770.0,9771.0,9772.0,1,87,3,1,3,4,30,56,11,45,9766.0,1114,108836070.0,0.0,108836070.0,-0.5866119999991497,EsunnyL2,20210125
19,20210125,OI0001,664664403554258495,664664403500000000,9765.0,9764.0,9763.0,9762.0,9761.0,9766.0,9767.0,9768.0,9769.0,9770.0,82,3,1,3,203,5,1,21,30,56,9765.0,1140,111375280.0,26.0,2539210.0,-0.32613800000035553,EsunnyL2,20210125
