refId,actionTime,initVolume,cancelling,direction,limitPrice,detRefId,isDetecting,longPosition,shortPosition,outStandingBuy,outStandingSell,submitType,drivenType,isOrderLogMatched,orderLogRefId,AS_OF_DATE
10001,2021-01-22 21:00:00.052264923,1,False,-1,9771.0,-1,False,0,0,0,0,1,0,0,-1,20210125.0
10002,2021-01-22 21:00:00.302438390,1,False,-1,9774.0,-1,False,0,1,0,0,1,0,0,-1,20210125.0
10002,2021-01-22 21:00:01.803221105,-1,True,-1000,0.0,-1,False,-1000,-1000,-1000,-1000,-1,-1,0,-1,20210125.0
10003,2021-01-22 21:00:02.554250468,1,False,-1,9767.0,-1,False,0,1,0,0,2,0,0,-1,20210125.0
10004,2021-01-22 21:00:06.555924520,1,False,1,9764.0,-1,False,0,2,0,0,2,0,0,-1,20210125.0
10005,2021-01-22 21:00:07.056197397,1,False,1,9762.0,-1,False,0,1,0,0,0,0,0,-1,20210125.0
10006,2021-01-22 21:00:07.306342219,1,False,1,9762.0,-1,False,0,1,1,0,0,0,0,-1,20210125.0
10007,2021-01-22 21:00:08.056823888,1,False,1,9763.0,-1,False,1,0,0,0,0,0,0,-1,20210125.0
10008,2021-01-22 21:00:10.057838966,1,False,-1,9766.0,-1,False,2,0,0,0,2,0,0,-1,20210125.0
10009,2021-01-22 21:00:11.058179865,1,False,-1,9767.0,-1,False,1,0,0,0,0,0,0,-1,20210125.0
10010,2021-01-22 21:00:11.308296239,1,False,1,9767.0,-1,False,0,0,0,0,1,0,0,-1,20210125.0
10011,2021-01-22 21:00:11.558430910,1,False,1,9767.0,-1,False,0,0,1,0,0,0,0,-1,20210125.0
10012,2021-01-22 21:00:12.809393573,1,False,-1,9768.0,-1,False,2,0,0,0,1,0,0,-1,20210125.0
10013,2021-01-22 21:00:13.309426104,1,False,-1,9766.0,-1,False,1,0,0,0,1,0,0,-1,20210125.0
10014,2021-01-22 21:00:13.559486030,1,False,1,9766.0,-1,False,0,0,0,0,1,0,0,-1,20210125.0
10015,2021-01-22 21:00:14.059752914,1,False,1,9766.0,-1,False,0,0,1,0,0,0,0,-1,20210125.0
10016,2021-01-22 21:00:14.811400265,1,False,-1,9766.0,-1,False,2,0,0,0,0,0,0,-1,20210125.0
10017,2021-01-22 21:00:16.315476155,1,False,1,9764.0,-1,False,1,0,0,0,0,0,0,-1,20210125.0
10018,2021-01-22 21:00:20.564635398,1,False,-1,9769.0,-1,False,2,0,0,0,0,0,0,-1,20210125.0
10019,2021-01-22 21:00:21.819401401,1,False,-1,9769.0,-1,False,1,0,0,0,0,0,0,-1,20210125.0
10020,2021-01-22 21:00:22.067189024,1,False,-1,9769.0,-1,False,1,0,0,1,0,0,0,-1,20210125.0
10021,2021-01-22 21:00:22.567096142,1,False,-1,9767.0,-1,False,1,0,0,2,0,0,0,-1,20210125.0
10022,2021-01-22 21:00:23.317558084,1,False,1,9766.0,-1,False,0,2,0,0,0,0,0,-1,20210125.0
10023,2021-01-22 21:00:23.567626959,1,False,1,9766.0,-1,False,0,2,1,0,0,0,0,-1,20210125.0
10024,2021-01-22 21:00:24.818741910,1,False,1,9765.0,-1,False,0,0,0,0,1,0,0,-1,20210125.0
