,0
sharpe,
terminal,723.5641100000081
sessionlyDrawDown,0.0
sessionlyWinningProb,1.0
maxDailyLoss,723.5641100000081
allSuccessTradeNum,1940.0
cancelFailedTradeNum,1966.0
takingFailedTradeNum,1926.0
improvingFailedTradeNum,1906.0
joinFailedTradeNum,1912.0
allFailedTradeNum,1908.0
allSuccessCancelNum,34.0
cancelFailedCancelNum,34.0
takingFailedCancelNum,35.0
improvingFailedCancelNum,48.0
joinFailedCancelNum,51.0
allFailedCancelNum,66.0
allSuccessTerminal,735.5000000000083
cancelFailedTerminal,732.8500000000084
takingFailedTerminal,725.850000000008
improvingFailedTerminal,722.3500000000075
joinFailedTerminal,721.2000000000078
allFailedTerminal,696.3000000000072
cancelDiffTerminal,2.6499999999998636
takingDiffTerminal,9.650000000000318
joinDiffTerminal,14.300000000000523
improvingDiffTerminal,13.150000000000773
allDiffTerminal,39.20000000000107
fracCut,0.4
fractCutImprove,0.4
fractCutTake,0.4
maxUnitOfRisk,2
oneSidedMaxPos,100
maxQuoteSize,1
posPenIntercept,1.0
posPenCoef,0.3
posPenLowerBound,0.5
posPenLowerBoundCancel,0.1
minimumEdge,0.1
minimumEdgeRate,0.0
alpha,1.0
signalScoreB,0.05
signalScoreC,10
signalFloor,0.0
qI,0
initVar,0.25
varEwmaDecay,0.99
volBound4Joining,1000.0
volBound4Improving,1000.0
volBound4Taking,-1000
quoteRange,4
improveTick,1.0
theoGamma,0.6
theoAlpha,0.1
theoGamma2,0.1
theoAlpha2,0.3
minSnapshotVolumeTake,-1.0
minStandizedSignalForTaking,-1.0
useExt,False
minEdge2,0.3
cmeScaler,1.0
cancelScalerOnAssist,0.2
varAlpha4T,0.1
varBeta4T,1.0
varBase4T,0.0
varAlpha4I,0.2
varBeta4I,1.0
varBase4I,0.0
varAlpha4J,0.4
varBeta4J,1.0
varBase4J,0.0
spoofingLevel,3000
useIncreAssistTheo,False
increAssistTheoThreshold,0.0
useIncreAssistSignal,False
increAssistSignalThreshold,0.0
useNewCancel,False
probCancel,-40
queueEdgeAlpha,1.0
fill1MktVolumeFilter,False
fill1VolumeConstraintFilter,False
useOrderLog,True
PERROUNDFEE,0.05
openRate,0.0
closeRate,0.0
orderLagTime,0 days 00:00:00.100000
